RSHP_AD_IdZone,RSHP_AD_IdParcel,RSHP_AD_IdPrecinct,RSHP_AD_IdPlot,RSHP_AD_IdSubplot,RSHP_AD_IdBuilding,RSHP_AD_IdRiverSide,RSHP_AD_IdPhase,RSHP_AD_IdAsset,RSHP_AD_IdType,RSHP_AD_Area,RSHP_AD_Level,RSHP_AD_ArBua,RSHP_AD_ArGfa,RSHP_AD_ArGla,RSHP_AD_PkParking,RSHP_AD_PpEmployee,RSHP_AD_PpResidents,RSHP_AD_PpVisitor,RSHP_AD_PpUnits
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_27,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_28,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_29,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_30,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_31,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_32,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_33,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_34,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_35,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_36,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.70,TT FFL_37,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.56,TT FFL_00 (+5.40),1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.56,TT FFL_01,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.56,TT FFL_02,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,05,00,A,Southside,01,COMMERCIAL,OFFICE,1955.56,TT FFL_03,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,01,00,A,Southside,01,COMMERCIAL,OFFICE,3600.00,TT FFL_00 (+5.40),1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_00 (+5.40),1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_01,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_02,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_03,1,0.85,1,0.01,0.05,0,0.1,0
Zone 5,YH090,704,07,00,A,Southside,01,COMMERCIAL,OFFICE,2784.17,TT FFL_04,1,0.85,1,0.01,0.05,0,0.1,0
